nidId,latitude,longitude,drainageArea,maxDischarge
IA02719,40.9427,-93.1203,0.26,0
IA02705,40.5779,-94.0286,0.26,0
IL40095,38.9883,-89.9042,,
IA03157,41.508,-91.9408,0.67,0
IA02505,41.336200000000005,-94.867,0.62,0
IA02955,40.6651,-93.199,0.34,0
IA01507,41.1313,-93.9786,0.23,0
IA01062,40.6788,-94.4904,0.37,0
IA01087,41.0623,-94.1492,0.15,0
IA01826,41.7561,-95.5367,0.19,0
IA00087,40.638400000000004,-92.9607,0.43,0
IA00187,42.6317,-95.8558,1.25,0
FL00377,25.51703,-80.511376,0,0
FL78007,27.84,-82.660004,6.2,1000
CA01157,34.1683,-117.9931,2.87,
CA00895,37.5417,-122.0847,,
GA05891,31.714865,-83.757172,0.25,300
GA05834,30.916031,-83.354324,0.98,160
TX01569,30.287520999999998,-98.39614,0,4280
OR00370,43.19004821,-122.7023392,0.7000000000000001,180
NY12916,42.13833333,-74.49444444,1.02,844
NM00183,32.411100000000005,-104.2225,18000,11180
NY01652,44.32444444,-74.07472222,2.7,
NM00473,35.156400000000005,-106.6947,21,4500
NC05670,35.1029,-79.3783,,
NE01549,40.4525201,-96.86943231,1.3,338
NE00634,40.39093163,-96.4288106,0.7000000000000001,430
MI00362,45.945,-87.985,5.8,
MA00342,42.313915,-71.226334,211,
IN00811,41.11259994,-85.11666983,1060,11985
IL50569,40.06971,-90.28486,0.27,
IL00073,38.07002,-89.03142,,
IA02521,41.4955,-90.8814,0.68,0
IA03143,42.0122,-92.9151,0.62,0
IA01787,42.2229,-96.0146,0.15,0
IA01212,42.2359,-95.8637,0.31,0
IA00885,42.578700000000005,-96.2499,0.26,0
IA01800,42.3478,-95.8645,0.04,0
IA00164,41.4013,-94.8404,0.25,0
IA00152,41.359300000000005,-94.9161,0.16,0
AR00695,35.02166667,-91.50833333,,10062
TX04550,33.379066,-97.563247,0.23,2
PA00987,41.04166667,-75.18333333,3,
PA00274,40.305,-76.885,18.1,
SD00550,43.08240052,-99.14337288,7,4250
PA01054,40.47972222,-78.71638889,4.5,
SC05010,34.7646,-82.672,,
OR04025,43.67393,-119.22369,,
PA00795,40.10333333,-74.86666667,18.3,
RI01607,41.79114913,-71.50913243,4,438
OR00457,42.06529998,-123.3026962,0.2,33
NY11498,43.32833333,-76.39805556,6.5200000000000005,170
NJ00968,41.1053,-74.48158333,0.11,
NH01038,43.9769,-71.1063,0,0
NE01540,40.41671966,-96.60818308,1.4000000000000001,1070
NE01248,40.79045331,-96.24019806,4,1770
NE02520,40.09576182,-95.77848327,1.2,209
NY00152,43.79833333,-74.23,196,6870
NH00190,44.1201,-71.957,3.4,1640
NE00872,40.64629802,-96.05278825,0.4,185
NC05260,35.587219999999995,-81.24444,290,
NC06060,35.989000000000004,-80.416,105,117
NE00762,40.12735048,-96.41634658,0.5,112
MN00329,43.75234,-92.01145,0.8,200
MA00676,42.31334645,-71.95762506,3.4,
MA00629,42.15626083,-71.52133732,3.73,
MN01717,44.4311,-93.4498,1.4000000000000001,
MN01002,47.846489999999996,-94.64672,8.1,
KY00527,38.09005,-84.74132,0.6,
KY00194,36.83972222,-87.15194444,1.37,
IL00777,39.14678,-89.86361,5.7,3598
IA02292,41.5953,-94.715,0.12,0
IL00892,41.32834,-89.88327,,
IA02477,42.607800000000005,-95.6378,0.4,0
IA02817,42.451100000000004,-96.1091,0.24,0
IA02538,40.6466,-91.9071,1.49,0
IA01922,42.238800000000005,-96.0037,1.6500000000000001,0
IA01825,41.818200000000004,-95.5314,0.2,0
IA00680,41.0925,-95.7803,0.5,0
IA01471,41.6254,-94.9528,1,0
CA00676,37.2211,-122.0524,0.7000000000000001,
NC06519,35.2687,-79.3673,,
TX07485,29.190178999999997,-96.070278,0,1
GA05845,32.692533,-85.055638,0.16,330
SC00684,34.9793,-81.2001,,
SC00270,34.8954,-81.4865,,
NY14920,43.17416667,-76.24777778,1.98,529
ND01003,48.84148,-99.60798,,
MN00192,46.587559999999996,-96.07101,340,1840
MA02465,41.946636999999996,-70.826055,10,
MN00087,47.64105,-91.56182,71.10000000000001,1489
MI00352,45.045,-84.11666667,0.7000000000000001,90
IL00122,37.667224999999995,-89.065002,1,828
IA02708,40.92,-92.6,0.3,0
IN03252,38.68271458,-86.01964964,0.35000000000000003,2630
IA02033,41.5666,-94.7558,0.25,0
IA01903,41.9974,-95.545,0.3,0
IA00872,42.7346,-96.5903,0.22,0
IA01812,42.3465,-95.8632,0.09,0
IA00855,42.7214,-96.514,0.61,0
IA00305,40.710300000000004,-92.4611,0.41000000000000003,0
IA01647,42.3953,-96.101,0.51,0
FL00392,25.68,-80.360001,0,0
CO00704,40.401677,-106.628895,2,1992
AK00268,55.342371,-160.48349,,
SCD4919,33.5323,-81.6742,,
NC06405,34.0216,-78.0693,,
WY01379,44.8983,-108.6367,1,10000
VT00141,44.07384491,-73.34754181,23,
PA01363,41.23333333,-77.00638889,5682,
RI04551,41.869879999999995,-71.44463,,
OR00562,43.21072006,-122.4266968,65,13500
NY00848,42.00166667,-75.65,0.87,837
NE04047,40.42358268,-100.1298912,5.75,
NC05616,35.2014,-80.7199,25,
NH00024,43.581500000000005,-71.977,7.2,2583
NH00184,42.8761,-71.2455,4.3,514
NH00107,42.9883,-71.9075,2,639
NC00451,35.722,-79.861,1626,1146
MA01122,42.51179979,-71.17907326,0.2,
MN00067,45.2627,-94.83503,151.6,1415
MA00447,42.39048463,-71.5703365,64,
MA01295,42.402893,-72.668297,,
MA01161,42.13657433,-71.16599426,,
KY00239,37.19,-87.95,6.4,
IL00106,42.46,-89.0803,3700,32500
IA01990,41.032000000000004,-94.2772,0.24,0
IA02697,40.88,-93.27,0.31,0
IN00441,40.80918342,-85.68410235,0.38,562
IA02774,41.9503,-95.9367,3.19,0
IA02954,40.6542,-93.1919,0.26,0
IA01370,40.7409,-94.2405,4.05,0
IA00690,41.1054,-95.7873,0.13,0
IA01809,42.3346,-95.8563,0.13,0
IA00940,41.3828,-95.7598,0.39,0
IA00220,41.9011,-95.4828,0.24,0
IA01231,42.522400000000005,-96.1289,0.77,0
IA00338,40.674,-92.4367,0.11,0
CO00276,39.109449999999995,-104.675009,3,2525
MN00611,47.0512,-92.1907,,
SD02294,42.85743812,-97.91922046,1,668
PA01555,40.99138889,-79.075,0.36,
KS02768,39.320553,-95.204439,0.04,240
NH01364,43.5277,-71.0936,0.93,1020
NM00155,36.705473999999995,-106.23755,6,1815
NM00010,32.48036,-106.91286,6,125
NM00467,35.100545,-106.738963,3,889
TN053CC,35.889364,-88.882254,0.12,328
NY00446,42.39805556,-77.6225,3.64,1108
MN01151,43.850229999999996,-95.03489,2.3000000000000003,
MN00240,46.27081,-94.54208,0.81,140
MA03057,42.011719,-71.262882,18.900000000000002,
MN01725,44.54332,-96.07026,0.4,
KY00133,37.302408,-88.090617,1.1400000000000001,
MI00355,43.13972222,-84.56277778,4.1,360
MA00786,42.11352307,-71.051107,3.44,
MA00349,42.095318999999996,-70.974807,5.3,
MA00377,41.84338586,-70.74367088,4.9,
MA00168,42.02688,-71.284596,12.05,
KY00082,36.923604999999995,-88.612765,3.06,
IA02353,41.878,-93.8702,8.91,0
IA01296,41.0968,-93.216,2.2800000000000002,0
IA01932,41.590700000000005,-94.2027,609,0
IA01927,41.6743,-94.7618,0.18,0
IA00507,42.3035,-95.5437,0.5,0
CO00034,39.333023,-104.485556,1,5046
CO02138,39.605004,-105.758345,0,45
CO00978,40.765623,-107.428019,1,352
LA00734,32.82028215,-91.70953052,71,5100
MD00598,39.120920999999996,-76.850985,,
TX09583,30.154981,-95.718493,0,0
GA05820,33.419844999999995,-84.352493,0.34,360
SD02296,42.8816453,-97.93863304,,3200
SC02833,35.042,-81.5133,,
OR03897,45.215976999999995,-123.456387,,
OR03200,43.75774002,-118.5389786,0,0
OR03952,44.623984,-121.112277,,
NY17051,42.56652778,-74.15461111,3.1,2364
NY10949,42.71472222,-77.70833333,17.25,445
OH01018,39.13166667,-84.10333333,0.02,2358
NY00916,43.79111111,-73.97027778,4,1190
NE01005,40.233285359999996,-96.5923123,0.6,224
ND00004,46.34035,-101.84763,57.9,
ND00015,48.63335,-99.3651,108,
NH00789,43.393,-70.9925,0,0
ND00527,46.36933,-102.32064,720,
MA00644,42.528189999999995,-71.853579,0.73,
KY00113,37.168366,-82.634689,2.61,
MA00796,41.765477,-71.232817,5.1000000000000005,
MA00069,42.14591,-72.5903,1.5,
IA01917,42.2685,-95.9952,3.35,0
IA02776,41.932500000000005,-95.9374,0.28,0
IA00481,41.6257,-95.7438,0.34,0
IA02123,41.607,-95.5871,0.45,0
